method,entropy,laplacian,peak_ratio,top1,top5,top10,top20,coverage,overlap,pearson_gc,cosine_gc,ssim_gc
LRP,15.410085408193453,0.0018837249372154474,3.1810070686348797,0.031085399946643763,0.13631543511502892,0.2514349230475546,0.44128934303911893,0.001753826530612245,0.6395966100307532,0.5765939809408467,0.8213384219587964,0.3593258373793051
Grad-CAM,15.003085774211785,0.00979594700038433,6.755796698833503,0.05025001414289444,0.18635693408602758,0.31540782201729106,0.519571133514832,0.02911750637755102,0.6646688977071008,0.9999999999899786,1.0000000596068392,1.0
Score-CAM,15.414746934700986,0.009028412401676178,4.14561641147871,0.030410225283137617,0.11933909136359379,0.20933308840526726,0.366147363962574,0.0018136160714285715,0.566237710007904,0.7242040618633716,0.8703562786237522,0.4480070885056803
Layer-CAM,14.808463566285166,0.0031211385503411293,10.335989619112802,0.06716656506340146,0.24936459997876428,0.38876700592250374,0.5803607484882678,0.05054209183673469,0.6259447224455853,0.4471233788843758,0.6910690051129835,0.3452195567861342
DeepSHAP,14.720857912304256,0.002446610713377595,7.858108000233028,0.06021054567072151,0.2312157385864079,0.3867957058677202,0.6039936495592272,0.06150350765306122,0.6893351545468898,0.4752536497892431,0.7115718002767901,0.31457882385050917
